District,school_count,pm25_mean_winter,pm25_mean_summer,pm25_mean_monsoon,pm25_mean_post_monsoon,pm10_mean_winter,pm10_mean_summer,pm10_mean_monsoon,pm10_mean_post_monsoon,no2_mean_winter,no2_mean_summer,no2_mean_monsoon,no2_mean_post_monsoon,students_affected_est,pm25_winter_minus_monsoon,pm25_winter_to_monsoon_ratio,dashboard_year,season_options
Central,68,149.33579217281644,62.30819179012887,34.49858870136683,155.8937861408584,260.3038654226502,132.57638735917075,75.59856926563982,282.3938006056607,77.17613644168837,56.2375697444267,33.526526732090005,45.238531315028176,54944,114.83720347144961,4.328750763271072,2025,Winter|Summer|Monsoon|Post-Monsoon
East,251,178.18505959214988,63.67401672215517,34.13120027613705,169.52295988321663,298.1032368536007,192.79949797198327,99.32520808555958,325.0258375528659,64.92778000749699,45.32738999954016,29.340536173759023,74.33427082008464,202808,144.05385931601285,5.220591662483332,2025,Winter|Summer|Monsoon|Post-Monsoon
New Delhi,17,152.11802498356343,60.0228087883304,32.84977661301279,145.11556830601094,240.09509945211485,141.89062809917357,74.43485885648782,244.71397814207648,78.80771851851851,52.747846230588834,28.682014492753623,54.557094251004834,13736,119.26824837055064,4.630717181903297,2025,Winter|Summer|Monsoon|Post-Monsoon
North,98,163.07222417702715,68.60022888614732,36.66913477631039,177.78968469182325,296.9907705627706,166.32076744659193,85.62333686946845,323.4375485258814,56.69876383886888,45.70663030715799,28.560765251106222,49.34331751509923,79184,126.40308940071677,4.447124950501363,2025,Winter|Summer|Monsoon|Post-Monsoon
North East-I,186,147.18249712428107,60.06750961537504,36.35138023238578,165.3186356425172,256.1482082465061,171.9839143149557,86.5576147960638,270.25721664022564,45.864674752021344,34.45909609847818,24.070896190378452,39.536471002996656,150288,110.83111689189529,4.048883321166299,2025,Winter|Summer|Monsoon|Post-Monsoon
North East-II,184,132.21400843861014,61.984846612493264,30.085901268115943,128.8662538295132,243.39358231423182,147.43565031347626,71.74457817188917,261.273504364082,49.761606773363205,41.54373534048728,37.429372685409945,47.39840712570807,148672,102.12810717049419,4.394550366311487,2025,Winter|Summer|Monsoon|Post-Monsoon
North West A,225,180.66746826734783,76.42850146968945,38.34746547449644,188.8731798989969,302.9956370931538,210.99500553227,99.23911048606978,326.1538087414063,48.78983347486109,37.61255084656084,21.314525000405535,52.77068667334437,181800,142.3200027928514,4.711327490144126,2025,Winter|Summer|Monsoon|Post-Monsoon
North West B-I,180,196.56031234567902,77.3078131147541,32.91223337049424,193.17745870234282,340.5605506172839,245.04248172434728,128.03164651100377,329.6267963695748,61.97395831180017,46.08796842744383,26.162834408345276,67.51423450160166,145440,163.64807897518477,5.97225688493978,2025,Winter|Summer|Monsoon|Post-Monsoon
North West B-II,146,196.83205783866057,76.80218768246125,32.6738091011133,197.87611246195902,318.1016301369863,229.9178439988301,107.99694841729757,327.2472728381486,49.95880266185267,36.996669894827455,20.12858668314039,45.962601771761776,117968,164.15824873754727,6.024154001437007,2025,Winter|Summer|Monsoon|Post-Monsoon
South,139,153.8341749907882,61.600733712694726,28.145756606990624,147.09063966570235,251.86243637155397,171.8184672224126,79.11622762148338,261.45944230151076,50.70986185642983,37.339692001101575,27.38704403515401,50.0824831243973,112312,125.68841838379757,5.465625853972605,2025,Winter|Summer|Monsoon|Post-Monsoon
South East,177,166.79021609333734,59.11357771440535,27.510067063391286,160.09013244419745,273.9049338080433,179.91498235276558,87.87000516328739,286.6161396684264,64.59809478970496,44.91839476289419,29.807407885940307,66.82605514846871,143016,139.28014902994605,6.062879298294825,2025,Winter|Summer|Monsoon|Post-Monsoon
South West A,90,158.2666470858795,62.08922205449755,33.718329519450805,158.43541271210813,266.27003968723307,169.0365709702188,90.78833237986271,278.99392579810177,56.21763131611801,42.88762523204031,30.833855238011417,71.18474834627553,72720,124.5483175664287,4.693786713086767,2025,Winter|Summer|Monsoon|Post-Monsoon
South West B-I,152,153.1737487179487,69.18999329593125,31.100814009661836,142.9237679697352,268.6508384615385,183.21425222797217,94.17495904276882,293.5025208070618,66.79409743589744,46.93348026095684,34.08703474544779,72.6888499369483,122816,122.07293470828688,4.925072014847054,2025,Winter|Summer|Monsoon|Post-Monsoon
South West B-II,124,113.84834722222222,66.30353995901639,28.72022418478261,105.46863729508198,225.3648125,149.82100875558868,62.47685801630434,215.5114344262295,52.87393749999999,41.97532786885245,33.26796875,67.69818647540984,100192,85.12812303743961,3.9640479994074935,2025,Winter|Summer|Monsoon|Post-Monsoon
West A,117,160.71950776538927,66.0091157714638,33.1877848946028,161.20125328672708,278.731557771156,170.30150508237324,93.2158816777669,296.43822879769317,59.76903518484335,44.12960385020304,31.361055429413028,61.957653730662116,94536,127.53172287078647,4.842730790132561,2025,Winter|Summer|Monsoon|Post-Monsoon
West B,269,150.01781553819444,73.0609290151127,29.754553394126255,137.56438798403053,294.629421875,202.49279201679673,95.41167443156085,262.10190930389695,52.38528389454134,40.50008588947234,31.241686191695536,66.29984081313596,217352,120.2632621440682,5.041843967579394,2025,Winter|Summer|Monsoon|Post-Monsoon
