nearest_station_id,nearest_station_name,school_count,avg_distance_km,max_distance_km,avg_pm25,avg_pm10
STN_025,Mundka,247,3.05,9.94,114.85,267.95
STN_026,NSIT Dwarka,239,3.55,10.93,73.0,165.37
STN_016,"IHBAS, Dilshad Garden",199,2.39,4.08,74.73,160.06
STN_041,Sonia Vihar,179,2.53,4.43,96.23,191.77
STN_033,Patparganj,145,2.44,5.07,101.34,219.14
STN_013,Dwarka-Sector 8,91,2.65,7.87,101.3,217.44
STN_034,Punjabi Bagh,88,2.43,4.82,107.77,201.52
STN_038,Rohini,81,2.31,4.0,116.04,232.26
STN_012,Dr. Karni Singh Shooting Range,74,3.77,6.44,92.05,179.47
STN_009,Chandni Chowk,71,1.85,4.1,97.67,203.53
STN_003,Ashok Vihar,63,1.82,3.33,112.19,223.25
STN_008,Cantonment Area,57,3.16,5.58,,
STN_032,Okhla Phase-2,55,2.71,7.14,95.75,214.39
STN_005,Bawana,55,5.45,11.34,123.34,207.45
STN_045,Wazirpur,51,1.62,3.23,124.29,281.58
STN_035,Pusa (DPCC),48,2.87,5.28,88.32,196.34
STN_021,Jahangirpuri,48,2.19,4.65,130.8,262.52
STN_044,Vivek Vihar,44,1.09,2.33,113.48,212.34
STN_002,Anand Vihar,43,2.13,4.82,122.06,261.41
STN_006,Burari Crossing,39,2.48,6.95,96.97,184.91
STN_029,Narela,38,2.85,5.74,109.1,205.85
STN_037,R K Puram,38,1.74,3.31,108.24,196.85
STN_028,Najafgarh,34,4.81,7.33,79.72,142.52
STN_011,DTU,31,2.54,4.91,76.11,213.04
STN_030,Nehru Nagar,31,1.27,2.31,109.88,201.49
STN_015,IGNOU_Maidan Garhi,29,3.22,7.5,,
STN_040,Sirifort,28,1.85,3.84,103.54,211.92
STN_024,Mandir Marg,28,1.31,2.79,84.93,153.52
STN_027,NSUT Jaffarpur,28,4.73,7.34,,
STN_042,Sri Aurobindo Marg,27,1.76,3.44,74.37,149.8
STN_031,"North Campus, DU",24,1.5,2.88,94.28,193.21
STN_007,CRRI Mathura Road,22,1.6,2.39,90.16,211.47
STN_020,JNU,21,2.34,3.26,,
STN_022,Jawaharlal Nehru Stadium,19,1.12,1.96,82.61,189.45
STN_001,Alipur,18,2.71,5.4,99.95,207.1
STN_039,Shadipur,17,1.3,2.97,91.03,187.25
STN_004,Aya Nagar,15,4.53,15.2,76.78,178.41
STN_036,Pusa (IITM),14,1.22,1.87,84.12,164.81
STN_019,ITO,13,1.48,2.03,101.46,160.32
STN_014,IGI Airport (T3),11,3.18,5.07,80.27,190.97
STN_018,IMD Lodhi Road,7,1.11,2.01,86.1,182.21
STN_023,Major Dhyan Chand National Stadium,5,0.86,1.43,90.16,173.75
STN_017,IIT Delhi,5,1.07,1.42,159.85,261.91
STN_043,Talkatora Garden,3,2.69,3.45,,
